inf	gerund	parti	presente__1_sing	presente__2_sing_tu	presente__2_sing_usted	presente__3_sing	presente__1_plur	presente__2_plur_vosotros	presente__2_plur_ustedes	presente__3_plur	preterito_imp__1_sing	preterito_imp__2_sing_tu	preterito_imp__2_sing_usted	preterito_imp__3_sing	preterito_imp__1_plur	preterito_imp__2_plur_vosotros	preterito_imp__2_plur_ustedes	preterito_imp__3_plur	presente_perf__1_sing	presente_perf__2_sing_tu	presente_perf__2_sing_usted	presente_perf__3_sing	presente_perf__1_plur	presente_perf__2_plur_vosotros	presente_perf__2_plur_ustedes	presente_perf__3_plur	futuro_imp__1_sing	futuro_imp__2_sing_tu	futuro_imp__2_sing_usted	futuro_imp__3_sing	futuro_imp__1_plur	futuro_imp__2_plur_vosotros	futuro_imp__2_plur_ustedes	futuro_imp__3_plur	cond_simp__1_sing	cond_simp__2_sing_tu	cond_simp__2_sing_usted	cond_simp__3_sing	cond_simp__1_plur	cond_simp__2_plur_vosotros	cond_simp__2_plur_ustedes	cond_simp__3_plur	
esperar	esperando	esperado	espero	esperas/esperás	espera	espera	esperamos	esperáis	esperan	esperan	esperaba	esperabas	esperaba	esperaba	esperábamos	esperabais	esperaban	esperaban	esperé	esperaste	esperó	esperó	esperamos	esperasteis	esperaron	esperaron	esperaré	esperarás	esperará	esperará	esperaremos	esperaréis	esperarán	esperarán	esperaría	esperarías	esperaría	esperaría	esperaríamos	esperaríais	esperarían	esperarían	
establecer	estableciendo	establecido	establezco	estableces/establecés	establece	establece	establecemos	establecéis	establecen	establecen	establecía	establecías	establecía	establecía	establecíamos	establecíais	establecían	establecían	establecí	estableciste	estableció	estableció	establecimos	establecisteis	establecieron	establecieron	estableceré	establecerás	establecerá	establecerá	estableceremos	estableceréis	establecerán	establecerán	establecería	establecerías	establecería	establecería	estableceríamos	estableceríais	establecerían	establecerían	
estar	estando	estado	estoy	estás	está	está	estamos	estáis	están	están	estaba	estabas	estaba	estaba	estábamos	estabais	estaban	estaban	estuve	estuviste	estuvo	estuvo	estuvimos	estuvisteis	estuvieron	estuvieron	estaré	estarás	estará	estará	estaremos	estaréis	estarán	estarán	estaría	estarías	estaría	estaría	estaríamos	estaríais	estarían	estarían	
estudiar	estudiando	estudiado	estudio	estudias/estudiás	estudia	estudia	estudiamos	estudiáis	estudian	estudian	estudiaba	estudiabas	estudiaba	estudiaba	estudiábamos	estudiabais	estudiaban	estudiaban	estudié	estudiaste	estudió	estudió	estudiamos	estudiasteis	estudiaron	estudiaron	estudiaré	estudiarás	estudiará	estudiará	estudiaremos	estudiaréis	estudiarán	estudiarán	estudiaría	estudiarías	estudiaría	estudiaría	estudiaríamos	estudiaríais	estudiarían	estudiarían	
evadir	evadiendo	evadido	evado	evades/evadís	evade	evade	evadimos	evadís	evaden	evaden	evadía	evadías	evadía	evadía	evadíamos	evadíais	evadían	evadían	evadí	evadiste	evadió	evadió	evadimos	evadisteis	evadieron	evadieron	evadiré	evadirás	evadirá	evadirá	evadiremos	evadiréis	evadirán	evadirán	evadiría	evadirías	evadiría	evadiría	evadiríamos	evadiríais	evadirían	evadirían	
evaluar	evaluando	evaluado	evalúo	evalúas/evaluás	evalúa	evalúa	evaluamos	evaluáis	evalúan	evalúan	evaluaba	evaluabas	evaluaba	evaluaba	evaluábamos	evaluabais	evaluaban	evaluaban	evalué	evaluaste	evaluó	evaluó	evaluamos	evaluasteis	evaluaron	evaluaron	evaluaré	evaluarás	evaluará	evaluará	evaluaremos	evaluaréis	evaluarán	evaluarán	evaluaría	evaluarías	evaluaría	evaluaría	evaluaríamos	evaluaríais	evaluarían	evaluarían	
evitar	evitando	evitado	evito	evitas/evitás	evita	evita	evitamos	evitáis	evitan	evitan	evitaba	evitabas	evitaba	evitaba	evitábamos	evitabais	evitaban	evitaban	evité	evitaste	evitó	evitó	evitamos	evitasteis	evitaron	evitaron	evitaré	evitarás	evitará	evitará	evitaremos	evitaréis	evitarán	evitarán	evitaría	evitarías	evitaría	evitaría	evitaríamos	evitaríais	evitarían	evitarían	
examinar	examinando	examinado	examino	examinas/examinás	examina	examina	examinamos	examináis	examinan	examinan	examinaba	examinabas	examinaba	examinaba	examinábamos	examinabais	examinaban	examinaban	examiné	examinaste	examinó	examinó	examinamos	examinasteis	examinaron	examinaron	examinaré	examinarás	examinará	examinará	examinaremos	examinaréis	examinarán	examinarán	examinaría	examinarías	examinaría	examinaría	examinaríamos	examinaríais	examinarían	examinarían	
existir	existiendo	existido	existo	existes/existís	existe	existe	existimos	existís	existen	existen	existía	existías	existía	existía	existíamos	existíais	existían	existían	existí	exististe	existió	existió	existimos	exististeis	existieron	existieron	existiré	existirás	existirá	existirá	existiremos	existiréis	existirán	existirán	existiría	existirías	existiría	existiría	existiríamos	existiríais	existirían	existirían	
explicar	explicando	explicado	explico	explicas/explicás	explica	explica	explicamos	explicáis	explican	explican	explicaba	explicabas	explicaba	explicaba	explicábamos	explicabais	explicaban	explicaban	expliqué	explicaste	explicó	explicó	explicamos	explicasteis	explicaron	explicaron	explicaré	explicarás	explicará	explicará	explicaremos	explicaréis	explicarán	explicarán	explicaría	explicarías	explicaría	explicaría	explicaríamos	explicaríais	explicarían	explicarían	
explorar	explorando	explorado	exploro	exploras/explorás	explora	explora	exploramos	exploráis	exploran	exploran	exploraba	explorabas	exploraba	exploraba	explorábamos	explorabais	exploraban	exploraban	exploré	exploraste	exploró	exploró	exploramos	explorasteis	exploraron	exploraron	exploraré	explorarás	explorará	explorará	exploraremos	exploraréis	explorarán	explorarán	exploraría	explorarías	exploraría	exploraría	exploraríamos	exploraríais	explorarían	explorarían	
expresar	expresando	expresado	expreso	expresas/expresás	expresa	expresa	expresamos	expresáis	expresan	expresan	expresaba	expresabas	expresaba	expresaba	expresábamos	expresabais	expresaban	expresaban	expresé	expresaste	expresó	expresó	expresamos	expresasteis	expresaron	expresaron	expresaré	expresarás	expresará	expresará	expresaremos	expresaréis	expresarán	expresarán	expresaría	expresarías	expresaría	expresaría	expresaríamos	expresaríais	expresarían	expresarían	
facilitar	facilitando	facilitado	facilito	facilitas/facilitás	facilita	facilita	facilitamos	facilitáis	facilitan	facilitan	facilitaba	facilitabas	facilitaba	facilitaba	facilitábamos	facilitabais	facilitaban	facilitaban	facilité	facilitaste	facilitó	facilitó	facilitamos	facilitasteis	facilitaron	facilitaron	facilitaré	facilitarás	facilitará	facilitará	facilitaremos	facilitaréis	facilitarán	facilitarán	facilitaría	facilitarías	facilitaría	facilitaría	facilitaríamos	facilitaríais	facilitarían	facilitarían	
fallar	fallando	fallado	fallo	fallas/fallás	falla	falla	fallamos	falláis	fallan	fallan	fallaba	fallabas	fallaba	fallaba	fallábamos	fallabais	fallaban	fallaban	fallé	fallaste	falló	falló	fallamos	fallasteis	fallaron	fallaron	fallaré	fallarás	fallará	fallará	fallaremos	fallaréis	fallarán	fallarán	fallaría	fallarías	fallaría	fallaría	fallaríamos	fallaríais	fallarían	fallarían	
financiar	financiando	financiado	financio	financias/financiás	financia	financia	financiamos	financiáis	financian	financian	financiaba	financiabas	financiaba	financiaba	financiábamos	financiabais	financiaban	financiaban	financié	financiaste	financió	financió	financiamos	financiasteis	financiaron	financiaron	financiaré	financiarás	financiará	financiará	financiaremos	financiaréis	financiarán	financiarán	financiaría	financiarías	financiaría	financiaría	financiaríamos	financiaríais	financiarían	financiarían	
firmar	firmando	firmado	firmo	firmas/firmás	firma	firma	firmamos	firmáis	firman	firman	firmaba	firmabas	firmaba	firmaba	firmábamos	firmabais	firmaban	firmaban	firmé	firmaste	firmó	firmó	firmamos	firmasteis	firmaron	firmaron	firmaré	firmarás	firmará	firmará	firmaremos	firmaréis	firmarán	firmarán	firmaría	firmarías	firmaría	firmaría	firmaríamos	firmaríais	firmarían	firmarían	
fomentar	fomentando	fomentado	fomento	fomentas/fomentás	fomenta	fomenta	fomentamos	fomentáis	fomentan	fomentan	fomentaba	fomentabas	fomentaba	fomentaba	fomentábamos	fomentabais	fomentaban	fomentaban	fomenté	fomentaste	fomentó	fomentó	fomentamos	fomentasteis	fomentaron	fomentaron	fomentaré	fomentarás	fomentará	fomentará	fomentaremos	fomentaréis	fomentarán	fomentarán	fomentaría	fomentarías	fomentaría	fomentaría	fomentaríamos	fomentaríais	fomentarían	fomentarían	
formar	formando	formado	formo	formas/formás	forma	forma	formamos	formáis	forman	forman	formaba	formabas	formaba	formaba	formábamos	formabais	formaban	formaban	formé	formaste	formó	formó	formamos	formasteis	formaron	formaron	formaré	formarás	formará	formará	formaremos	formaréis	formarán	formarán	formaría	formarías	formaría	formaría	formaríamos	formaríais	formarían	formarían	
formular	formulando	formulado	formulo	formulas/formulás	formula	formula	formulamos	formuláis	formulan	formulan	formulaba	formulabas	formulaba	formulaba	formulábamos	formulabais	formulaban	formulaban	formulé	formulaste	formuló	formuló	formulamos	formulasteis	formularon	formularon	formularé	formularás	formulará	formulará	formularemos	formularéis	formularán	formularán	formularía	formularías	formularía	formularía	formularíamos	formularíais	formularían	formularían	
fortalecer	fortaleciendo	fortalecido	fortalezco	fortaleces/fortalecés	fortalece	fortalece	fortalecemos	fortalecéis	fortalecen	fortalecen	fortalecía	fortalecías	fortalecía	fortalecía	fortalecíamos	fortalecíais	fortalecían	fortalecían	fortalecí	fortaleciste	fortaleció	fortaleció	fortalecimos	fortalecisteis	fortalecieron	fortalecieron	fortaleceré	fortalecerás	fortalecerá	fortalecerá	fortaleceremos	fortaleceréis	fortalecerán	fortalecerán	fortalecería	fortalecerías	fortalecería	fortalecería	fortaleceríamos	fortaleceríais	fortalecerían	fortalecerían	
funcionar	funcionando	funcionado	funciono	funcionas/funcionás	funciona	funciona	funcionamos	funcionáis	funcionan	funcionan	funcionaba	funcionabas	funcionaba	funcionaba	funcionábamos	funcionabais	funcionaban	funcionaban	funcioné	funcionaste	funcionó	funcionó	funcionamos	funcionasteis	funcionaron	funcionaron	funcionaré	funcionarás	funcionará	funcionará	funcionaremos	funcionaréis	funcionarán	funcionarán	funcionaría	funcionarías	funcionaría	funcionaría	funcionaríamos	funcionaríais	funcionarían	funcionarían	
ganar	ganando	ganado	gano	ganas/ganás	gana	gana	ganamos	ganáis	ganan	ganan	ganaba	ganabas	ganaba	ganaba	ganábamos	ganabais	ganaban	ganaban	gané	ganaste	ganó	ganó	ganamos	ganasteis	ganaron	ganaron	ganaré	ganarás	ganará	ganará	ganaremos	ganaréis	ganarán	ganarán	ganaría	ganarías	ganaría	ganaría	ganaríamos	ganaríais	ganarían	ganarían	
garantizar	garantizando	garantizado	garantizo	garantizas/garantizás	garantiza	garantiza	garantizamos	garantizáis	garantizan	garantizan	garantizaba	garantizabas	garantizaba	garantizaba	garantizábamos	garantizabais	garantizaban	garantizaban	garanticé	garantizaste	garantizó	garantizó	garantizamos	garantizasteis	garantizaron	garantizaron	garantizaré	garantizarás	garantizará	garantizará	garantizaremos	garantizaréis	garantizarán	garantizarán	garantizaría	garantizarías	garantizaría	garantizaría	garantizaríamos	garantizaríais	garantizarían	garantizarían	
gastar	gastando	gastado	gasto	gastas/gastás	gasta	gasta	gastamos	gastáis	gastan	gastan	gastaba	gastabas	gastaba	gastaba	gastábamos	gastabais	gastaban	gastaban	gasté	gastaste	gastó	gastó	gastamos	gastasteis	gastaron	gastaron	gastaré	gastarás	gastará	gastará	gastaremos	gastaréis	gastarán	gastarán	gastaría	gastarías	gastaría	gastaría	gastaríamos	gastaríais	gastarían	gastarían	
generar	generando	generado	genero	generas/generás	genera	genera	generamos	generáis	generan	generan	generaba	generabas	generaba	generaba	generábamos	generabais	generaban	generaban	generé	generaste	generó	generó	generamos	generasteis	generaron	generaron	generaré	generarás	generará	generará	generaremos	generaréis	generarán	generarán	generaría	generarías	generaría	generaría	generaríamos	generaríais	generarían	generarían	
gestionar	gestionando	gestionado	gestiono	gestionas/gestionás	gestiona	gestiona	gestionamos	gestionáis	gestionan	gestionan	gestionaba	gestionabas	gestionaba	gestionaba	gestionábamos	gestionabais	gestionaban	gestionaban	gestioné	gestionaste	gestionó	gestionó	gestionamos	gestionasteis	gestionaron	gestionaron	gestionaré	gestionarás	gestionará	gestionará	gestionaremos	gestionaréis	gestionarán	gestionarán	gestionaría	gestionarías	gestionaría	gestionaría	gestionaríamos	gestionaríais	gestionarían	gestionarían	
guardar	guardando	guardado	guardo	guardas/guardás	guarda	guarda	guardamos	guardáis	guardan	guardan	guardaba	guardabas	guardaba	guardaba	guardábamos	guardabais	guardaban	guardaban	guardé	guardaste	guardó	guardó	guardamos	guardasteis	guardaron	guardaron	guardaré	guardarás	guardará	guardará	guardaremos	guardaréis	guardarán	guardarán	guardaría	guardarías	guardaría	guardaría	guardaríamos	guardaríais	guardarían	guardarían	
haber	habiendo	habido	he	has	ha(impersonal:hay)	ha	hemos	habéis	han	han	había	habías	había	había	habíamos	habíais	habían	habían	hube	hubiste	hubo	hubo	hubimos	hubisteis	hubieron	hubieron	habré	habrás	habrá	habrá	habremos	habréis	habrán	habrán	habría	habrías	habría	habría	habríamos	habríais	habrían	habrían	
habilitar	habilitando	habilitado	habilito	habilitas/habilitás	habilita	habilita	habilitamos	habilitáis	habilitan	habilitan	habilitaba	habilitabas	habilitaba	habilitaba	habilitábamos	habilitabais	habilitaban	habilitaban	habilité	habilitaste	habilitó	habilitó	habilitamos	habilitasteis	habilitaron	habilitaron	habilitaré	habilitarás	habilitará	habilitará	habilitaremos	habilitaréis	habilitarán	habilitarán	habilitaría	habilitarías	habilitaría	habilitaría	habilitaríamos	habilitaríais	habilitarían	habilitarían	
hablar	hablando	hablado	hablo	hablas/hablás	habla	habla	hablamos	habláis	hablan	hablan	hablaba	hablabas	hablaba	hablaba	hablábamos	hablabais	hablaban	hablaban	hablé	hablaste	habló	habló	hablamos	hablasteis	hablaron	hablaron	hablaré	hablarás	hablará	hablará	hablaremos	hablaréis	hablarán	hablarán	hablaría	hablarías	hablaría	hablaría	hablaríamos	hablaríais	hablarían	hablarían	
hacer	haciendo	hecho	hago	haces/hacés	hace	hace	hacemos	hacéis	hacen	hacen	hacía	hacías	hacía	hacía	hacíamos	hacíais	hacían	hacían	hice	hiciste	hizo	hizo	hicimos	hicisteis	hicieron	hicieron	haré	harás	hará	hará	haremos	haréis	harán	harán	haría	harías	haría	haría	haríamos	haríais	harían	harían	
identificar	identificando	identificado	identifico	identificas/identificás	identifica	identifica	identificamos	identificáis	identifican	identifican	identificaba	identificabas	identificaba	identificaba	identificábamos	identificabais	identificaban	identificaban	identifiqué	identificaste	identificó	identificó	identificamos	identificasteis	identificaron	identificaron	identificaré	identificarás	identificará	identificará	identificaremos	identificaréis	identificarán	identificarán	identificaría	identificarías	identificaría	identificaría	identificaríamos	identificaríais	identificarían	identificarían	
imaginar	imaginando	imaginado	imagino	imaginas/imaginás	imagina	imagina	imaginamos	imagináis	imaginan	imaginan	imaginaba	imaginabas	imaginaba	imaginaba	imaginábamos	imaginabais	imaginaban	imaginaban	imaginé	imaginaste	imaginó	imaginó	imaginamos	imaginasteis	imaginaron	imaginaron	imaginaré	imaginarás	imaginará	imaginará	imaginaremos	imaginaréis	imaginarán	imaginarán	imaginaría	imaginarías	imaginaría	imaginaría	imaginaríamos	imaginaríais	imaginarían	imaginarían	
impedir	impidiendo	impedido	impido	impides/impedís	impide	impide	impedimos	impedís	impiden	impiden	impedía	impedías	impedía	impedía	impedíamos	impedíais	impedían	impedían	impedí	impediste	impidió	impidió	impedimos	impedisteis	impidieron	impidieron	impediré	impedirás	impedirá	impedirá	impediremos	impediréis	impedirán	impedirán	impediría	impedirías	impediría	impediría	impediríamos	impediríais	impedirían	impedirían	
implicar	implicando	implicado	implico	implicas/implicás	implica	implica	implicamos	implicáis	implican	implican	implicaba	implicabas	implicaba	implicaba	implicábamos	implicabais	implicaban	implicaban	impliqué	implicaste	implicó	implicó	implicamos	implicasteis	implicaron	implicaron	implicaré	implicarás	implicará	implicará	implicaremos	implicaréis	implicarán	implicarán	implicaría	implicarías	implicaría	implicaría	implicaríamos	implicaríais	implicarían	implicarían	
imponer	imponiendo	impuesto	impongo	impones/imponés	impone	impone	imponemos	imponéis	imponen	imponen	imponía	imponías	imponía	imponía	imponíamos	imponíais	imponían	imponían	impuse	impusiste	impuso	impuso	impusimos	impusisteis	impusieron	impusieron	impondré	impondrás	impondrá	impondrá	impondremos	impondréis	impondrán	impondrán	impondría	impondrías	impondría	impondría	impondríamos	impondríais	impondrían	impondrían	
incluir	incluyendo	incluido	incluyo	incluyes/incluís	incluye	incluye	incluimos	incluís	incluyen	incluyen	incluía	incluías	incluía	incluía	incluíamos	incluíais	incluían	incluían	incluí	incluiste	incluyó	incluyó	incluimos	incluisteis	incluyeron	incluyeron	incluiré	incluirás	incluirá	incluirá	incluiremos	incluiréis	incluirán	incluirán	incluiría	incluirías	incluiría	incluiría	incluiríamos	incluiríais	incluirían	incluirían	
incorporar	incorporando	incorporado	incorporo	incorporas/incorporás	incorpora	incorpora	incorporamos	incorporáis	incorporan	incorporan	incorporaba	incorporabas	incorporaba	incorporaba	incorporábamos	incorporabais	incorporaban	incorporaban	incorporé	incorporaste	incorporó	incorporó	incorporamos	incorporasteis	incorporaron	incorporaron	incorporaré	incorporarás	incorporará	incorporará	incorporaremos	incorporaréis	incorporarán	incorporarán	incorporaría	incorporarías	incorporaría	incorporaría	incorporaríamos	incorporaríais	incorporarían	incorporarían	
incrementar	incrementando	incrementado	incremento	incrementas/incrementás	incrementa	incrementa	incrementamos	incrementáis	incrementan	incrementan	incrementaba	incrementabas	incrementaba	incrementaba	incrementábamos	incrementabais	incrementaban	incrementaban	incrementé	incrementaste	incrementó	incrementó	incrementamos	incrementasteis	incrementaron	incrementaron	incrementaré	incrementarás	incrementará	incrementará	incrementaremos	incrementaréis	incrementarán	incrementarán	incrementaría	incrementarías	incrementaría	incrementaría	incrementaríamos	incrementaríais	incrementarían	incrementarían	
indicar	indicando	indicado	indico	indicas/indicás	indica	indica	indicamos	indicáis	indican	indican	indicaba	indicabas	indicaba	indicaba	indicábamos	indicabais	indicaban	indicaban	indiqué	indicaste	indicó	indicó	indicamos	indicasteis	indicaron	indicaron	indicaré	indicarás	indicará	indicará	indicaremos	indicaréis	indicarán	indicarán	indicaría	indicarías	indicaría	indicaría	indicaríamos	indicaríais	indicarían	indicarían	
informar	informando	informado	informo	informas/informás	informa	informa	informamos	informáis	informan	informan	informaba	informabas	informaba	informaba	informábamos	informabais	informaban	informaban	informé	informaste	informó	informó	informamos	informasteis	informaron	informaron	informaré	informarás	informará	informará	informaremos	informaréis	informarán	informarán	informaría	informarías	informaría	informaría	informaríamos	informaríais	informarían	informarían	
iniciar	iniciando	iniciado	inicio	inicias/iniciás	inicia	inicia	iniciamos	iniciáis	inician	inician	iniciaba	iniciabas	iniciaba	iniciaba	iniciábamos	iniciabais	iniciaban	iniciaban	inicié	iniciaste	inició	inició	iniciamos	iniciasteis	iniciaron	iniciaron	iniciaré	iniciarás	iniciará	iniciará	iniciaremos	iniciaréis	iniciarán	iniciarán	iniciaría	iniciarías	iniciaría	iniciaría	iniciaríamos	iniciaríais	iniciarían	iniciarían	
instalar	instalando	instalado	instalo	instalas/instalás	instala	instala	instalamos	instaláis	instalan	instalan	instalaba	instalabas	instalaba	instalaba	instalábamos	instalabais	instalaban	instalaban	instalé	instalaste	instaló	instaló	instalamos	instalasteis	instalaron	instalaron	instalaré	instalarás	instalará	instalará	instalaremos	instalaréis	instalarán	instalarán	instalaría	instalarías	instalaría	instalaría	instalaríamos	instalaríais	instalarían	instalarían	
integrar	integrando	integrado	integro	integras/integrás	integra	integra	integramos	integráis	integran	integran	integraba	integrabas	integraba	integraba	integrábamos	integrabais	integraban	integraban	integré	integraste	integró	integró	integramos	integrasteis	integraron	integraron	integraré	integrarás	integrará	integrará	integraremos	integraréis	integrarán	integrarán	integraría	integrarías	integraría	integraría	integraríamos	integraríais	integrarían	integrarían	
intentar	intentando	intentado	intento	intentas/intentás	intenta	intenta	intentamos	intentáis	intentan	intentan	intentaba	intentabas	intentaba	intentaba	intentábamos	intentabais	intentaban	intentaban	intenté	intentaste	intentó	intentó	intentamos	intentasteis	intentaron	intentaron	intentaré	intentarás	intentará	intentará	intentaremos	intentaréis	intentarán	intentarán	intentaría	intentarías	intentaría	intentaría	intentaríamos	intentaríais	intentarían	intentarían	
introducir	introduciendo	introducido	introduzco	introduces/introducís	introduce	introduce	introducimos	introducís	introducen	introducen	introducía	introducías	introducía	introducía	introducíamos	introducíais	introducían	introducían	introduje	introdujiste	introdujo	introdujo	introdujimos	introdujisteis	introdujeron	introdujeron	introduciré	introducirás	introducirá	introducirá	introduciremos	introduciréis	introducirán	introducirán	introduciría	introducirías	introduciría	introduciría	introduciríamos	introduciríais	introducirían	introducirían	
invertir	invirtiendo	invertido	invierto	inviertes/invertís	invierte	invierte	invertimos	invertís	invierten	invierten	invertía	invertías	invertía	invertía	invertíamos	invertíais	invertían	invertían	invertí	invertiste	invirtió	invirtió	invertimos	invertisteis	invirtieron	invirtieron	invertiré	invertirás	invertirá	invertirá	invertiremos	invertiréis	invertirán	invertirán	invertiría	invertirías	invertiría	invertiría	invertiríamos	invertiríais	invertirían	invertirían	
investigar	investigando	investigado	investigo	investigas/investigás	investiga	investiga	investigamos	investigáis	investigan	investigan	investigaba	investigabas	investigaba	investigaba	investigábamos	investigabais	investigaban	investigaban	investigué	investigaste	investigó	investigó	investigamos	investigasteis	investigaron	investigaron	investigaré	investigarás	investigará	investigará	investigaremos	investigaréis	investigarán	investigarán	investigaría	investigarías	investigaría	investigaría	investigaríamos	investigaríais	investigarían	investigarían	
involucrar	involucrando	involucrado	involucro	involucras/involucrás	involucra	involucra	involucramos	involucráis	involucran	involucran	involucraba	involucrabas	involucraba	involucraba	involucrábamos	involucrabais	involucraban	involucraban	involucré	involucraste	involucró	involucró	involucramos	involucrasteis	involucraron	involucraron	involucraré	involucrarás	involucrará	involucrará	involucraremos	involucraréis	involucrarán	involucrarán	involucraría	involucrarías	involucraría	involucraría	involucraríamos	involucraríais	involucrarían	involucrarían	
ir	yendo	ido	voy	vas	va	va	vamos	vais	van	van	iba	ibas	iba	iba	íbamos	ibais	iban	iban	fui	fuiste	fue	fue	fuimos	fuisteis	fueron	fueron	iré	irás	irá	irá	iremos	iréis	irán	irán	iría	irías	iría	iría	iríamos	iríais	irían	irían	
jugar	jugando	jugado	juego	juegas/jugás	juega	juega	jugamos	jugáis	juegan	juegan	jugaba	jugabas	jugaba	jugaba	jugábamos	jugabais	jugaban	jugaban	jugué	jugaste	jugó	jugó	jugamos	jugasteis	jugaron	jugaron	jugaré	jugarás	jugará	jugará	jugaremos	jugaréis	jugarán	jugarán	jugaría	jugarías	jugaría	jugaría	jugaríamos	jugaríais	jugarían	jugarían	
leer	leyendo	leído	leo	lees/leés	lee	lee	leemos	leéis	leen	leen	leía	leías	leía	leía	leíamos	leíais	leían	leían	leí	leíste	leyó	leyó	leímos	leísteis	leyeron	leyeron	leeré	leerás	leerá	leerá	leeremos	leeréis	leerán	leerán	leería	leerías	leería	leería	leeríamos	leeríais	leerían	leerían	
limitar	limitando	limitado	limito	limitas/limitás	limita	limita	limitamos	limitáis	limitan	limitan	limitaba	limitabas	limitaba	limitaba	limitábamos	limitabais	limitaban	limitaban	limité	limitaste	limitó	limitó	limitamos	limitasteis	limitaron	limitaron	limitaré	limitarás	limitará	limitará	limitaremos	limitaréis	limitarán	limitarán	limitaría	limitarías	limitaría	limitaría	limitaríamos	limitaríais	limitarían	limitarían	
limpiar	limpiando	limpiado	limpio	limpias/limpiás	limpia	limpia	limpiamos	limpiáis	limpian	limpian	limpiaba	limpiabas	limpiaba	limpiaba	limpiábamos	limpiabais	limpiaban	limpiaban	limpié	limpiaste	limpió	limpió	limpiamos	limpiasteis	limpiaron	limpiaron	limpiaré	limpiarás	limpiará	limpiará	limpiaremos	limpiaréis	limpiarán	limpiarán	limpiaría	limpiarías	limpiaría	limpiaría	limpiaríamos	limpiaríais	limpiarían	limpiarían	
llamar	llamando	llamado	llamo	llamas/llamás	llama	llama	llamamos	llamáis	llaman	llaman	llamaba	llamabas	llamaba	llamaba	llamábamos	llamabais	llamaban	llamaban	llamé	llamaste	llamó	llamó	llamamos	llamasteis	llamaron	llamaron	llamaré	llamarás	llamará	llamará	llamaremos	llamaréis	llamarán	llamarán	llamaría	llamarías	llamaría	llamaría	llamaríamos	llamaríais	llamarían	llamarían	
llegar	llegando	llegado	llego	llegas/llegás	llega	llega	llegamos	llegáis	llegan	llegan	llegaba	llegabas	llegaba	llegaba	llegábamos	llegabais	llegaban	llegaban	llegué	llegaste	llegó	llegó	llegamos	llegasteis	llegaron	llegaron	llegaré	llegarás	llegará	llegará	llegaremos	llegaréis	llegarán	llegarán	llegaría	llegarías	llegaría	llegaría	llegaríamos	llegaríais	llegarían	llegarían	
llevar	llevando	llevado	llevo	llevas/llevás	lleva	lleva	llevamos	lleváis	llevan	llevan	llevaba	llevabas	llevaba	llevaba	llevábamos	llevabais	llevaban	llevaban	llevé	llevaste	llevó	llevó	llevamos	llevasteis	llevaron	llevaron	llevaré	llevarás	llevará	llevará	llevaremos	llevaréis	llevarán	llevarán	llevaría	llevarías	llevaría	llevaría	llevaríamos	llevaríais	llevarían	llevarían	
llorar	llorando	llorado	lloro	lloras/llorás	llora	llora	lloramos	lloráis	lloran	lloran	lloraba	llorabas	lloraba	lloraba	llorábamos	llorabais	lloraban	lloraban	lloré	lloraste	lloró	lloró	lloramos	llorasteis	lloraron	lloraron	lloraré	llorarás	llorará	llorará	lloraremos	lloraréis	llorarán	llorarán	lloraría	llorarías	lloraría	lloraría	lloraríamos	lloraríais	llorarían	llorarían	
localizar	localizando	localizado	localizo	localizas/localizás	localiza	localiza	localizamos	localizáis	localizan	localizan	localizaba	localizabas	localizaba	localizaba	localizábamos	localizabais	localizaban	localizaban	localicé	localizaste	localizó	localizó	localizamos	localizasteis	localizaron	localizaron	localizaré	localizarás	localizará	localizará	localizaremos	localizaréis	localizarán	localizarán	localizaría	localizarías	localizaría	localizaría	localizaríamos	localizaríais	localizarían	localizarían	
lograr	logrando	logrado	logro	logras/lográs	logra	logra	logramos	lográis	logran	logran	lograba	lograbas	lograba	lograba	lográbamos	lograbais	lograban	lograban	logré	lograste	logró	logró	logramos	lograsteis	lograron	lograron	lograré	lograrás	logrará	logrará	lograremos	lograréis	lograrán	lograrán	lograría	lograrías	lograría	lograría	lograríamos	lograríais	lograrían	lograrían	
luchar	luchando	luchado	lucho	luchas/luchás	lucha	lucha	luchamos	lucháis	luchan	luchan	luchaba	luchabas	luchaba	luchaba	luchábamos	luchabais	luchaban	luchaban	luché	luchaste	luchó	luchó	luchamos	luchasteis	lucharon	lucharon	lucharé	lucharás	luchará	luchará	lucharemos	lucharéis	lucharán	lucharán	lucharía	lucharías	lucharía	lucharía	lucharíamos	lucharíais	lucharían	lucharían	
manejar	manejando	manejado	manejo	manejas/manejás	maneja	maneja	manejamos	manejáis	manejan	manejan	manejaba	manejabas	manejaba	manejaba	manejábamos	manejabais	manejaban	manejaban	manejé	manejaste	manejó	manejó	manejamos	manejasteis	manejaron	manejaron	manejaré	manejarás	manejará	manejará	manejaremos	manejaréis	manejarán	manejarán	manejaría	manejarías	manejaría	manejaría	manejaríamos	manejaríais	manejarían	manejarían	
